frame,source_path,raw_markers,raw_charuco_corners,perspective_markers,perspective_charuco_corners,selected_source,selected_markers,selected_charuco_corners,gain_over_raw,useful_for_calibration,selected_detection_image,selected_rectified_image
frame_003990,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003990.jpg,4,3,5,4,perspective,5,4,1,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003990_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_003990_perspective_selected_rectified.jpg
frame_004020,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004020.jpg,4,3,5,4,perspective,5,4,1,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_004020_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_004020_perspective_selected_rectified.jpg
frame_004080,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004080.jpg,4,3,5,4,perspective,5,4,1,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_004080_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_004080_perspective_selected_rectified.jpg
frame_004290,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004290.jpg,5,4,4,3,raw,5,4,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_004290_selected_raw_detection.jpg,
frame_004590,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004590.jpg,6,4,4,0,raw,6,4,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_004590_selected_raw_detection.jpg,
frame_004620,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004620.jpg,9,7,2,0,raw,9,7,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_004620_selected_raw_detection.jpg,
frame_004650,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004650.jpg,8,6,4,0,raw,8,6,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_004650_selected_raw_detection.jpg,
frame_004680,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004680.jpg,4,3,7,4,perspective,7,4,1,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_004680_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_004680_perspective_selected_rectified.jpg
frame_004740,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004740.jpg,5,0,8,4,perspective,8,4,4,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_004740_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_004740_perspective_selected_rectified.jpg
frame_004770,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004770.jpg,7,4,5,3,raw,7,4,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_004770_selected_raw_detection.jpg,
frame_004800,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004800.jpg,7,4,5,0,raw,7,4,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_004800_selected_raw_detection.jpg,
frame_006120,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_006120.jpg,6,6,4,1,raw,6,6,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_006120_selected_raw_detection.jpg,
frame_006630,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_006630.jpg,8,8,6,3,raw,8,8,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_006630_selected_raw_detection.jpg,
frame_006660,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_006660.jpg,5,1,7,4,perspective,7,4,3,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_006660_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_006660_perspective_selected_rectified.jpg
frame_007080,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007080.jpg,8,9,8,6,raw,8,9,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_007080_selected_raw_detection.jpg,
frame_007110,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007110.jpg,10,9,10,8,raw,10,9,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_007110_selected_raw_detection.jpg,
frame_007230,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007230.jpg,9,7,10,9,perspective,10,9,2,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_007230_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_007230_perspective_selected_rectified.jpg
frame_007260,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007260.jpg,7,3,9,7,perspective,9,7,4,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_007260_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_007260_perspective_selected_rectified.jpg
frame_007380,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007380.jpg,13,15,12,11,raw,13,15,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_007380_selected_raw_detection.jpg,
frame_007410,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007410.jpg,13,13,11,8,raw,13,13,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_007410_selected_raw_detection.jpg,
frame_007440,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007440.jpg,5,4,5,4,raw,5,4,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_007440_selected_raw_detection.jpg,
frame_007470,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007470.jpg,6,6,8,8,perspective,8,8,2,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_007470_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_007470_perspective_selected_rectified.jpg
