frame,source_path,selected_source,num_points,debug_mapped_points_image
frame_003780,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003780.jpg,raw,5,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003780_raw_mapped_points_on_raw.jpg
frame_003810,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003810.jpg,raw,5,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003810_raw_mapped_points_on_raw.jpg
frame_003840,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003840.jpg,raw,5,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003840_raw_mapped_points_on_raw.jpg
frame_003960,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003960.jpg,perspective,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003960_perspective_mapped_points_on_raw.jpg
frame_003990,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003990.jpg,perspective,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003990_perspective_mapped_points_on_raw.jpg
frame_004020,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004020.jpg,perspective,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_004020_perspective_mapped_points_on_raw.jpg
frame_004080,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004080.jpg,perspective,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_004080_perspective_mapped_points_on_raw.jpg
frame_004290,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004290.jpg,raw,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_004290_raw_mapped_points_on_raw.jpg
frame_004590,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004590.jpg,raw,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_004590_raw_mapped_points_on_raw.jpg
frame_004620,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004620.jpg,raw,7,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_004620_raw_mapped_points_on_raw.jpg
frame_004650,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004650.jpg,raw,6,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_004650_raw_mapped_points_on_raw.jpg
frame_004680,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004680.jpg,perspective,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_004680_perspective_mapped_points_on_raw.jpg
frame_004740,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004740.jpg,perspective,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_004740_perspective_mapped_points_on_raw.jpg
frame_004770,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004770.jpg,raw,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_004770_raw_mapped_points_on_raw.jpg
frame_004800,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004800.jpg,raw,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_004800_raw_mapped_points_on_raw.jpg
frame_006120,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_006120.jpg,raw,6,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_006120_raw_mapped_points_on_raw.jpg
frame_006630,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_006630.jpg,raw,8,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_006630_raw_mapped_points_on_raw.jpg
frame_006660,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_006660.jpg,perspective,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_006660_perspective_mapped_points_on_raw.jpg
frame_007080,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007080.jpg,raw,9,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_007080_raw_mapped_points_on_raw.jpg
frame_007110,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007110.jpg,raw,9,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_007110_raw_mapped_points_on_raw.jpg
frame_007230,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007230.jpg,perspective,9,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_007230_perspective_mapped_points_on_raw.jpg
frame_007260,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007260.jpg,perspective,7,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_007260_perspective_mapped_points_on_raw.jpg
frame_007380,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007380.jpg,raw,15,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_007380_raw_mapped_points_on_raw.jpg
frame_007410,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007410.jpg,raw,13,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_007410_raw_mapped_points_on_raw.jpg
frame_007440,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007440.jpg,raw,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_007440_raw_mapped_points_on_raw.jpg
