frame_index,raw_frame_path,detected_frame_path,marker_count,charuco_corner_count,marker_ids,used_for_calibration,error
720,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000720.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/detected_frames/frame_000720_detected.jpg,3,0,21 22 23,False,
750,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000750.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/detected_frames/frame_000750_detected.jpg,3,0,21 22 23,False,
780,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000780.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/detected_frames/frame_000780_detected.jpg,4,0,11 21 22 23,False,
810,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000810.jpg,,0,0,,False,
840,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000840.jpg,,0,0,,False,
870,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000870.jpg,,0,0,,False,
900,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000900.jpg,,0,0,,False,
930,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000930.jpg,,0,0,,False,
960,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000960.jpg,,0,0,,False,
990,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000990.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/detected_frames/frame_000990_detected.jpg,2,1,18 21,False,
1020,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001020.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/detected_frames/frame_001020_detected.jpg,5,2,15 18 16 21 23,False,
1050,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001050.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/detected_frames/frame_001050_detected.jpg,6,5,15 18 19 21 22 20,True,
1080,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001080.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/detected_frames/frame_001080_detected.jpg,7,5,11 15 18 21 22 20 23,True,
1110,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001110.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/detected_frames/frame_001110_detected.jpg,6,4,15 18 16 21 22 20,True,
